group,Category,n_total,n_study,n_category,beta,k,se,zval,pval,ci.lb,ci.ub,tau2,se.tau2,sigma2,I2,H2,QE.LRT,QEp.LRT,QE.Wld,QEp.Wld,QE.df,phenotype,average_proportion,average_lci,average_uci
R/E = NH White,Type B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAID,NA,NA,NA
R/E = NH White,Type C,56904,4,6900,-2.03755216493093,4,0.2326571237314902,-8.757746731548487,1.991921129562464e-18,-2.49355174819133,-1.5815525816705303,0.20842205501390296,NA,NA,97.03222317752854,33.695256072767314,123.83361078962568,1.1526513558606572e-26,134.4548962023419,5.928070807336784e-29,3,SAID,0.11531622118491762,0.07631146458879236,0.1705757109704362
R/E = NH Asian,Type A1,56904,3,18624,-2.9026591445824383,3,0.12163800626466484,-23.863093729658118,7.405534855486291e-126,-3.141065256012439,-2.6642530331524377,0.032161997645044786,NA,NA,78.70409921680765,4.695739382807621,14.781611724014837,6.168986179859329e-4,13.042915430054009,0.0014715224777222726,2,SAID,0.05202226850594196,0.04144477908129235,0.06511594700889894
R/E = NH Asian,Type B,56904,2,2169,-3.116891246827072,2,0.10654118485485403,-29.25527110547303,3.847938804786706e-188,-3.32570813201281,-2.908074361641334,0,NA,NA,0,1,0.05898184393129924,0.8081124747864838,0.058906364744107875,0.8082329000395517,1,SAID,0.04241585984324573,0.034699702386350194,0.05175585885424461
R/E = NH Asian,Type C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAID,NA,NA,NA
Overall,Type A1,241366,8,150768,-1.5580138444008813,8,0.16553078742649902,-9.412230006413093,4.857204196586678e-21,-1.882448226089375,-1.2335794627123877,0.21572599493072023,NA,NA,99.63316044915659,272.59874179348384,2725.16823697684,0,2942.1693395526186,0,7,SIDD,0.1739318321756155,0.13210791824955143,0.22555555014157697
Overall,Type B,241366,14,48495,-1.3864575895646807,14,0.18998146687924333,-7.297857061215058,2.9238700864870363e-13,-1.7588144223780868,-1.0141007567512745,0.5005644299735434,NA,NA,99.52605599751845,210.9953907558849,2429.5738753574874,0,2215.42664950822,0,13,SIDD,0.19997388472771815,0.14693888721147605,0.2661780933125487
Overall,Type C,241366,11,42103,-1.5495720710014802,11,0.24308318493395784,-6.374657594775535,1.8337216986085262e-10,-2.026006358719327,-1.0731377832836335,0.6436666515088317,NA,NA,99.71669959599546,352.9822004715436,1438.5764765740523,4.644150624015279e-303,1300.022583585853,3.782960482759147e-273,10,SIDD,0.17514808299963017,0.11649934744322,0.25480682267076854
Duration = New,Type A1,241366,5,147549,-1.6399487618644757,5,0.2551541801918348,-6.427285497072785,1.2990271010572295e-10,-2.1400417655453152,-1.1398557581836362,0.32381060426994274,NA,NA,99.84711455604625,654.0845054565397,2607.610605264832,0,2836.466312181739,0,4,SIDD,0.16247203468288213,0.10526545578482421,0.24234684495170966
Duration = New,Type B,241366,7,21893,-1.8700994479230197,7,0.1769452903251685,-10.568800359062276,4.157790112496661e-26,-2.2169058441943337,-1.5232930516517058,0.21382702243585255,NA,NA,98.44381263850451,64.25961453889492,598.1334799509541,5.893532129291775e-126,552.962879798558,3.243992390353014e-116,6,SIDD,0.13353021599937878,0.09824257802718371,0.17897711256809104
Duration = New,Type C,241366,4,6100,-2.2459413140101008,4,0.378138694878934,-5.939464393426248,2.8595477373314864e-9,-2.9870795371337917,-1.5048030908864098,0.557593102100734,NA,NA,98.59920377425836,71.38797075717054,170.67337973817854,9.105253488745556e-37,145.2777564932506,2.750013128066342e-31,3,SIDD,0.09570013424997499,0.04801300157827291,0.18171025224842172
Duration = Established,Type A1,241366,3,3219,-1.4133071603658836,3,0.044424667343107224,-31.813567661642093,4.2024897336390654e-222,-1.5003779083835465,-1.3262364123482207,0,NA,NA,0,1,2.1896890825959012,0.33459161808437504,2.2057350661793564,0.3319179321009772,2,SIDD,0.19571295433365593,0.1823691668760373,0.2097825881861787
Duration = Established,Type B,241366,7,26602,-0.9053888968694696,7,0.21676658951178987,-4.176791722878612,2.9564950310432143e-5,-1.3302436053641555,-0.4805341883747836,0.32480147492280437,NA,NA,99.35230118901164,154.39274907329818,943.3543029519672,1.589706835286438e-200,969.5581576743385,3.427445656461957e-206,6,SIDD,0.28794433755502646,0.2091190728844453,0.38212599236160333
Duration = Established,Type C,241366,7,36003,-1.1580884460723526,7,0.19966140821357078,-5.800261835444865,6.621145167956736e-9,-1.549417615273501,-0.7667592768712042,0.27710745570789186,NA,NA,99.55207084957073,223.2495918253277,862.6022612401798,4.558731396101972e-183,898.8311615381642,6.721901529381077e-191,6,SIDD,0.23901479796380637,0.1751703985285867,0.31718055632201547
R/E = NH White,Type A1,241366,3,131474,-2.0393828925581934,3,0.21341197825032493,-9.556084476973767,1.2229627058115678e-21,-2.4576626837982753,-1.6211031013181112,0.13516750522396143,NA,NA,99.61111791882239,257.14735864707455,557.9663796880092,6.904625168159475e-122,606.28578391257,2.2218503038179365e-132,2,SIDD,0.11512958479031207,0.07887999468397025,0.16505279521646218
R/E = NH White,Type B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SIDD,NA,NA,NA
R/E = NH White,Type C,241366,4,6100,-2.2459413140101008,4,0.378138694878934,-5.939464393426248,2.8595477373314864e-9,-2.9870795371337917,-1.5048030908864098,0.557593102100734,NA,NA,98.59920377425836,71.38797075717054,170.67337973817854,9.105253488745556e-37,145.2777564932506,2.750013128066342e-31,3,SIDD,0.09570013424997499,0.04801300157827291,0.18171025224842172
R/E = NH Asian,Type A1,241366,5,19294,-1.2564424365265099,5,0.08914228842271682,-14.094796743027308,4.0882323856268597e-45,-1.4311581113345166,-1.0817267617185031,0.03507990641638954,NA,NA,92.02206666922683,12.53457453878078,52.43292093906237,1.1198697848198164e-10,50.31588697847118,3.102041215470069e-10,4,SIDD,0.22158691483295148,0.19291830120657183,0.25317938214675056
R/E = NH Asian,Type B,241366,6,12403,-1.3978339432009688,6,0.25868307560593207,-5.4036544135201785,6.529669309937728e-8,-1.9048434547986473,-0.8908244316032902,0.39567817574595837,NA,NA,98.89785992086505,90.73256829430272,679.5094536174665,1.32258922814019e-144,715.8722422245247,1.8163876406625696e-152,5,SIDD,0.1981600569367177,0.1295612723043268,0.29093972299625126
R/E = NH Asian,Type C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SIDD,NA,NA,NA
Overall,Type A1,241366,8,150768,-1.6348241734975637,8,0.15266406084925369,-10.708638067160098,9.271571784645498e-27,-1.9340402344957321,-1.3356081124993953,0.18181847039773497,NA,NA,99.55979934649666,227.16913117721856,1311.2305252814494,6.188883369384247e-279,1152.6359362632752,1.2309787078753988e-244,7,SIRD,0.16317056911281236,0.12630406125457197,0.20823323066447885
Overall,Type B,241366,14,48495,-1.8887553122243568,14,0.160613113717146,-11.759658153135758,6.298880348794245e-32,-2.2035512305547993,-1.5739593938939145,0.3523857499647602,NA,NA,99.33537975584619,150.4618628150866,1942.2324519792676,0,1902.3923899591116,0,13,SIRD,0.13138645309056643,0.09943204041810805,0.17165268116450258
